0.066666,1.1038,0.38182
0.13333,1.0472,0.40909
0.2,1.0755,0.43636
0.26666,1.0472,0.43636
0.33333,1.1038,0.46364
0.4,0.99057,0.49091
0.46666,1.0755,0.49091
0.53333,1.0755,0.49091
0.59999,0.99057,0.51818
0.66666,1.0755,0.54545
0.73333,0.99057,0.54545
0.79999,1.0755,0.54545
0.86666,1.0755,0.54545
0.93332,1.0755,0.54545
0.99999,1.0755,0.54545
1.0667,1.0755,0.54545
1.1333,1.0755,0.54545
1.2,1.0755,0.54545
1.2667,0.99057,0.54545
1.3333,0.99057,0.54545
1.4,0.99057,0.54545
1.4667,0.96226,0.57273
1.5333,0.93396,0.57273
1.6,0.96226,0.6
1.6666,0.96226,0.58636
1.7333,0.96226,0.6
1.8,0.99057,0.6
1.8666,0.99057,0.6
1.9333,0.99057,0.6
2,0.96226,0.57273
2.0666,0.94811,0.55909
2.1333,0.96226,0.57273
2.2,0.90566,0.57273
2.2666,0.84906,0.57273
2.3333,0.79245,0.57273
2.4,0.8066,0.55909
2.4666,0.79245,0.54545
2.5333,0.79245,0.54545
2.6,0.79245,0.54545
2.6666,0.79245,0.54545
2.7333,0.79245,0.54545
2.8,0.79245,0.54545
2.8666,0.76415,0.53182
2.9333,0.76415,0.51818
3,0.76415,0.53182
3.0666,0.76415,0.54545
3.1333,0.76415,0.51818
3.2,0.76415,0.51818
3.2666,0.76415,0.51818
3.3333,0.79245,0.54545
3.4,0.76415,0.54545
3.4666,0.76415,0.51818
3.5333,0.79245,0.54545
3.6,0.76415,0.51818
3.6666,0.76415,0.51818
3.7333,0.79245,0.54545
3.8,0.79245,0.54545
3.8666,0.79245,0.54545
3.9333,0.79245,0.54545
4,0.79245,0.54545
4.0666,0.76415,0.51818
4.1333,0.79245,0.54545
4.2,0.76415,0.53182
4.2666,0.73585,0.51818
4.3333,0.70755,0.51818
4.4,0.67925,0.51818
4.4666,0.56604,0.46364
4.5333,0.53774,0.43636
4.6,0.48113,0.40909
4.6666,0.42453,0.38182
4.7333,0.45283,0.38182
4.8,0.39623,0.35455
4.8666,0.48113,0.32727
