0.066666,1.3868,5.8282
0.13333,1.3585,5.8419
0.2,1.3585,5.8557
0.26666,1.3302,5.8694
0.33333,1.3019,5.8832
0.4,1.2736,5.9381
0.46666,1.2453,5.9381
0.53333,1.2594,5.9519
0.59999,1.2453,5.9931
0.66666,1.2453,5.9931
0.73333,1.2453,6.0206
0.79999,1.217,6.0206
0.86666,1.2311,6.0206
0.93332,1.1887,6.0481
0.99999,1.1604,6.0756
1.0667,1.1604,6.0756
1.1333,1.1604,6.0756
1.2,1.1604,6.1031
1.2667,1.1604,6.1031
1.3333,1.1604,6.1031
1.4,1.1604,6.1031
1.4667,1.1745,6.1031
1.5333,1.1887,6.1031
1.6,1.217,6.0206
1.6666,1.1887,5.9931
1.7333,1.1604,5.8832
1.8,1.1321,5.8007
1.8666,1.1038,5.6357
1.9333,1.5283,5.5945
2,1.0189,5.3333
2.0666,1.0189,5.2784
2.1333,1.0189,5.1684
2.2,0.90566,4.921
2.2666,0.90566,4.866
2.3333,0.79245,4.646
2.4,0.73585,4.5636
2.4666,0.62264,4.3711
2.5333,0.53774,4.2612
2.6,0.50943,4.2062
2.6666,0.42453,4.1237
2.7333,0.33962,4.0412
2.8,0.28302,3.9588
2.8666,0.28302,3.9038
2.9333,0.25472,3.89
3,0.22642,3.8488
3.0666,0.19811,3.8213
3.1333,0.16981,3.7663
3.2,0.11321,3.6838
3.2666,0.11321,3.6014
3.3333,0.084906,3.5189
3.4,0.056604,3.4089
3.4666,0.056604,3.299
3.5333,0.084906,3.189
3.6,0.084906,3.079
3.6666,0.12736,2.9966
3.7333,0.19811,2.9278
3.8,0.25472,2.8591
3.8666,0.31132,2.8041
3.9333,0.33962,2.7491
4,0.39623,2.6942
4.0666,0.48113,2.6117
4.1333,0.59434,2.5567
4.2,0.62264,2.5567
4.2666,0.73585,2.4742
4.3333,0.73585,2.4742
4.4,0.59434,2.5567
4.4666,0.67925,2.5017
4.5333,0.73585,2.4467
4.6,0.73585,2.4192
4.6666,0.99057,2.2268
4.7333,1.1038,2.1443
4.8,1.1321,2.1443
4.8666,1.2453,2.0344
4.9333,1.3585,1.9244
5,1.3868,1.8969
5.0666,1.4009,1.8419
5.1333,1.4434,1.7869
5.1999,1.4717,1.7045
5.2666,1.4434,1.5945
5.3333,1.4717,1.512
5.3999,1.4434,1.4021
5.4666,1.4151,1.3196
5.5333,1.3868,1.2096
5.5999,1.4151,1.2371
5.6666,1.3302,1.0722
5.7333,1.3585,1.0722
5.7999,1.3302,0.9622
5.8666,1.3302,0.90722
